Date,BTC,LTC,XRP,DASH,RF
2017/6/23,2744.909912,47.33549881,0.319977999,189.2649994,0.015
2017/6/30,2480.840088,40.35430145,0.262930006,181.7689972,0.015
2017/7/7,2518.659912,46.57550049,0.239480004,196.4570007,0.018
2017/7/14,2233.340088,42.80270004,0.190769002,161.0800018,0.018
2017/7/21,2667.76001,45.76300049,0.182607994,185.8589935,0.018
2017/7/28,2809.01001,40.61460114,0.165937007,185.6089935,0.018
2017/8/4,2895.889893,43.4496994,0.173742995,186.973999,0.021
2017/8/11,3650.620117,47.09939957,0.179306999,205.7899933,0.021
2017/8/18,4160.620117,47.28139877,0.158883005,224.2819977,0.021
2017/8/25,4371.600098,51.17679977,0.217828006,315.8869934,0.021
2017/9/1,4892.009766,86.03970337,0.248478994,393.3510132,0.024
2017/9/8,4228.75,67.7947998,0.211518005,333.2070007,0.024
2017/9/15,3637.52002,48.21260071,0.181357995,284.3599854,0.024
2017/9/22,3630.699951,48.09030151,0.17351,346.5849915,0.024
2017/9/29,4163.069824,52.6230011,0.193606004,327.7019958,0.024
2017/10/6,4370.810059,52.12009811,0.234038994,306.8789978,0.021
2017/10/13,5647.209961,59.42890167,0.260488987,310.3760071,0.021
2017/10/20,6011.450195,60.33060074,0.210548997,289.1889954,0.021
2017/10/27,5780.899902,55.33240128,0.202785,280.4769897,0.021
2017/11/3,7207.759766,56.1814003,0.208132997,278.5889893,0.021
2017/11/10,6618.140137,59.26010132,0.206483007,329.5710144,0.021
2017/11/17,7708.990234,67.56900024,0.226581007,424.9830017,0.021
2017/11/24,8253.69043,77.96829987,0.244642004,566.6350098,0.021
2017/12/1,10975.59961,99.00370026,0.255699009,797.5310059,0.022
2017/12/8,16569.40039,124.8460007,0.252124995,726.6680298,0.022
2017/12/15,17706.90039,299.7789917,0.756181002,900.5180054,0.022
2017/12/22,13831.7998,264.9320068,1.138280034,1179.01001,0.022
2017/12/29,14656.2002,245.5019989,2.214600086,1147.949951,0.022
2018/1/5,17429.5,249.2709961,3.048710108,1152.410034,0.029
2018/1/12,13980.59961,236.8560028,2.043230057,1054.869995,0.029
2018/1/19,11607.40039,192.9640045,1.552049995,846.164978,0.029
2018/1/26,11171.40039,176.7339935,1.217270017,782.4110107,0.029
2018/2/2,8830.75,131.3789978,0.884783983,586.8800049,0.029
2018/2/9,8736.980469,163.9499969,0.954428017,637.8179932,0.029
2018/2/16,10233.90039,230.1239929,1.138030052,698.8610229,0.029
2018/2/23,10301.09961,209.3090057,0.998854995,631.6599731,0.029
2018/3/2,11086.40039,212.5559998,0.910143971,603.6309814,0.029
2018/3/9,9337.549805,187.1679993,0.849761009,499.4989929,0.029
2018/3/16,8338.349609,165.4499969,0.689260006,425.5249939,0.029
2018/3/23,8879.620117,167.8320007,0.643173993,427.4559937,0.029
2018/3/30,6890.52002,118.5979996,0.509564996,311.1239929,0.029
2018/4/6,6636.319824,113.1549988,0.476431012,285.4519958,0.036
2018/4/13,7895.959961,125.3539963,0.638086975,353.0660095,0.036
2018/4/20,8845.830078,155.5370026,0.924465001,460.4119873,0.036
2018/4/27,8987.049805,145.9049988,0.813884974,472.0580139,0.036
2018/5/4,9700.759766,168.7879944,0.895442009,486.322998,0.035
